region,sub_region,latitude,longitude,N,P,K,ph,polygon
Dar es Salaam,DSM Zone 1,-6.849875,39.219053,50,28,100,6.3,"-6.859875,39.209053000000004;-6.859875,39.229053;-6.839875,39.229053;-6.839875,39.209053000000004;-6.859875,39.209053000000004"
Dar es Salaam,DSM Zone 2,-6.797941,39.217955,44,25,135,5.9,"-6.807941,39.207955000000005;-6.807941,39.227955;-6.787941,39.227955;-6.787941,39.207955000000005;-6.807941,39.207955000000005"
Dar es Salaam,DSM Zone 3,-6.771549,39.307577,50,25,186,6.6,"-6.781549,39.297577000000004;-6.781549,39.317577;-6.7615490000000005,39.317577;-6.7615490000000005,39.297577000000004;-6.781549,39.297577000000004"
Dar es Salaam,DSM Zone 4,-6.713187,39.215438,34,21,175,7,"-6.723186999999999,39.205438;-6.723186999999999,39.225438;-6.703187,39.225438;-6.703187,39.205438;-6.723186999999999,39.205438"
Dar es Salaam,DSM Zone 5,-6.834336,39.217449,34,35,184,6.4,"-6.844336,39.207449000000004;-6.844336,39.227449;-6.824336000000001,39.227449;-6.824336000000001,39.207449000000004;-6.844336,39.207449000000004"
Dar es Salaam,DSM Zone 6,-6.73753,39.2075,32,9,124,7.3,"-6.747529999999999,39.197500000000005;-6.747529999999999,39.2175;-6.72753,39.2175;-6.72753,39.197500000000005;-6.747529999999999,39.197500000000005"
Dar es Salaam,DSM Zone 7,-6.827211,39.336678,57,34,110,6,"-6.837211,39.326678;-6.837211,39.346678;-6.817211,39.346678;-6.817211,39.326678;-6.837211,39.326678"
Dar es Salaam,DSM Zone 8,-6.785283,39.250512,76,8,144,7,"-6.7952829999999995,39.240512;-6.7952829999999995,39.260512;-6.775283,39.260512;-6.775283,39.240512;-6.7952829999999995,39.240512"
Dar es Salaam,DSM Zone 9,-6.831232,39.279331,59,12,198,5.9,"-6.841232,39.269331;-6.841232,39.289331;-6.821232,39.289331;-6.821232,39.269331;-6.841232,39.269331"
Dar es Salaam,DSM Zone 10,-6.714444,39.320434,75,39,234,5.9,"-6.724444,39.310434;-6.724444,39.330434;-6.7044440000000005,39.330434;-6.7044440000000005,39.310434;-6.724444,39.310434"
Dar es Salaam,DSM Zone 11,-6.69294,39.202595,26,34,237,6.6,"-6.70294,39.192595000000004;-6.70294,39.212595;-6.68294,39.212595;-6.68294,39.192595000000004;-6.70294,39.192595000000004"
Dar es Salaam,DSM Zone 12,-6.811497,39.276622,76,36,188,7.4,"-6.821497,39.266622000000005;-6.821497,39.286622;-6.801497,39.286622;-6.801497,39.266622000000005;-6.821497,39.266622000000005"
Dar es Salaam,DSM Zone 13,-6.820622,39.208662,64,33,230,6.2,"-6.830622,39.198662;-6.830622,39.218661999999995;-6.810622,39.218661999999995;-6.810622,39.198662;-6.830622,39.198662"
Dar es Salaam,DSM Zone 14,-6.631681,39.20689,39,31,219,6.9,"-6.641681,39.19689;-6.641681,39.21689;-6.621681000000001,39.21689;-6.621681000000001,39.19689;-6.641681,39.19689"
Dar es Salaam,DSM Zone 15,-6.649793,39.296033,35,11,215,6.9,"-6.659793,39.286033;-6.659793,39.306033;-6.639793,39.306033;-6.639793,39.286033;-6.659793,39.286033"
Dar es Salaam,DSM Zone 16,-6.819214,39.269867,80,11,169,7,"-6.8292139999999995,39.259867;-6.8292139999999995,39.279866999999996;-6.809214,39.279866999999996;-6.809214,39.259867;-6.8292139999999995,39.259867"
Dar es Salaam,DSM Zone 17,-6.679644,39.31247,30,31,127,6.4,"-6.6896439999999995,39.30247;-6.6896439999999995,39.322469999999996;-6.669644,39.322469999999996;-6.669644,39.30247;-6.6896439999999995,39.30247"
Dar es Salaam,DSM Zone 18,-6.786573,39.337303,42,32,149,5.8,"-6.7965729999999995,39.327303;-6.7965729999999995,39.347303;-6.776573,39.347303;-6.776573,39.327303;-6.7965729999999995,39.327303"
Dar es Salaam,DSM Zone 19,-6.717801,39.258061,71,38,207,5.8,"-6.7278009999999995,39.248061;-6.7278009999999995,39.268060999999996;-6.707801,39.268060999999996;-6.707801,39.248061;-6.7278009999999995,39.248061"
Dar es Salaam,DSM Zone 20,-6.612179,39.263707,47,23,130,7.4,"-6.622179,39.253707;-6.622179,39.273706999999995;-6.6021790000000005,39.273706999999995;-6.6021790000000005,39.253707;-6.622179,39.253707"
Dar es Salaam,DSM Zone 21,-6.672641,39.294843,49,17,122,6.2,"-6.682640999999999,39.284843;-6.682640999999999,39.304843;-6.662641,39.304843;-6.662641,39.284843;-6.682640999999999,39.284843"
